N Rate,Rep!,Sample no!,Cabon Substrate Number!,Cabon Substrate!,%CO2,,,,Sample #,N Rate,Rep!,Shanon diversity index H=               -Σpi*(LnPi),"Substrate Richness (S) =sum of all wells greater than the control, or greater than 0 for adjusted well",Substrate eveness (E)= H/logS
300,4,5277,6,Citric acid,6.57,,,,,,,,,
300,4,5277,7,Oxalic acid,4.31,,,,,,,,,
300,4,5277,8,L-Malic acid,3.56,,,,,,,,,
300,4,5277,9,Fumaric acid,0.29,,,,,,,,,
300,4,5277,10,L-Alanine,0.18,,,,,,,,,
300,4,5277,11,DL-aspatic acid,0.29,,,,,,,,,
300,4,5277,12,γ-Aminobutyric acid,0.21,,,,,,,,,
300,4,5277,13,L-lysine hydrochloride,0.15,,,,,,,,,
300,4,5277,14,L-Arginine,0.05,,,,,,,,,
300,4,5277,15,Protocatechuic acid,0.23,,,,,,,,,
300,4,5277,Water,Water,0.07,,,,,,,,,
400,4,5278,1,L-Arabinose,1.63,,,,,,,,,
400,4,5278,2,D-Fructose,1.65,,,,,,,,,
400,4,5278,3,D-Galactose,1.54,,,,,,,,,
400,4,5278,4,D-Glucose,1.43,,,,,,,,,
400,4,5278,5,N-Acetyl-D-glucosamine,0.32,,,,,,,,,
400,4,5278,6,Citric acid,6.95,,,,,,,,,
400,4,5278,7,Oxalic acid,4.31,,,,,,,,,
400,4,5278,8,L-Malic acid,4.24,,,,,,,,,
400,4,5278,9,Fumaric acid,0.77,,,,,,,,,
400,4,5278,10,L-Alanine,0.35,,,,,,,,,
400,4,5278,11,DL-aspatic acid,0.53,,,,,,,,,
400,4,5278,12,γ-Aminobutyric acid,0.24,,,,,,,,,
400,4,5278,13,L-lysine hydrochloride,0.15,,,,,,,,,
400,4,5278,14,L-Arginine,0.04,,,,,,,,,
400,4,5278,15,Protocatechuic acid,0.25,,,,,,,,,
400,4,5278,Water,Water,0.08,,,,,,,,,
500,4,5279,1,L-Arabinose,1.38,,,,,,,,,
500,4,5279,2,D-Fructose,1.53,,,,,,,,,
500,4,5279,3,D-Galactose,1.21,,,,,,,,,
500,4,5279,4,D-Glucose,0.97,,,,,,,,,
500,4,5279,5,N-Acetyl-D-glucosamine,0.34,,,,,,,,,
500,4,5279,6,Citric acid,6.98,,,,,,,,,
500,4,5279,7,Oxalic acid,4.86,,,,,,,,,
500,4,5279,8,L-Malic acid,4.17,,,,,,,,,
500,4,5279,9,Fumaric acid,0.35,,,,,,,,,
500,4,5279,10,L-Alanine,0.39,,,,,,,,,
500,4,5279,11,DL-aspatic acid,0.42,,,,,,,,,
500,4,5279,12,γ-Aminobutyric acid,0.36,,,,,,,,,
500,4,5279,13,L-lysine hydrochloride,0.2,,,,,,,,,
500,4,5279,14,L-Arginine,0.1,,,,,,,,,
500,4,5279,15,Protocatechuic acid,0.36,,,,,,,,,
500,4,5279,Water,Water,0.1,,,,,,,,,
